Timestamp,Value
2002-04-29,1.172
2002-05-06,1.03472
2002-05-13,0.703599
2002-05-20,0.0
2002-05-27,0.0
2002-06-03,0.0
2002-06-10,0.0
2002-06-17,0.0
2002-06-24,0.0
2002-07-01,0.0
2002-07-08,0.0
2002-07-15,0.0
2002-07-22,0.0
2002-07-29,0.0
2002-08-05,0.0
2002-08-12,0.0
2002-08-19,0.0
2002-08-26,0.0
2002-09-02,0.0
2002-09-09,0.0
2002-09-16,0.0
2002-09-23,0.0
2002-09-30,1.22262
2002-10-07,1.33344
2002-10-14,1.31929
2002-10-21,1.49484
2002-10-28,1.47195
2002-11-04,1.58094
2002-11-11,1.49426
2002-11-18,1.40569
2002-11-25,1.6141
2002-12-02,1.45967
2002-12-09,1.59896
2002-12-16,2.16697
2002-12-23,2.57842
2002-12-30,2.38636
2003-01-06,1.73621
2003-01-13,2.06296
2003-01-20,2.58113
2003-01-27,2.93909
2003-02-03,3.22539
2003-02-10,3.06982
2003-02-17,3.20044
2003-02-24,2.44888
2003-03-03,2.1344
2003-03-10,1.99866
2003-03-17,1.93849
2003-03-24,1.41293
2003-03-31,1.23472
2003-04-07,1.20005
2003-04-14,0.910135
2003-04-21,0.932265
2003-04-28,0.692175
2003-05-05,0.669406
2003-05-12,0.727705
2003-05-19,0.717701
2003-05-26,0.789394
2003-06-02,0.722129
2003-06-09,0.591326
2003-06-16,0.52307
2003-06-23,0.450236
2003-06-30,0.397421
2003-07-07,0.448002
2003-07-14,0.474767
2003-07-21,0.453251
2003-07-28,0.352158
2003-08-04,0.525322
2003-08-11,0.492991
2003-08-18,0.542728
2003-08-25,0.490347
2003-09-01,0.735914
2003-09-08,0.581771
2003-09-15,0.654162
2003-09-22,0.749504
2003-09-29,0.884021
2003-10-06,1.02773
2003-10-13,1.28296
2003-10-20,1.32661
2003-10-27,1.77304
2003-11-03,2.43814
2003-11-10,2.72605
2003-11-17,3.73192
2003-11-24,4.54894
2003-12-01,5.39906
2003-12-08,7.38735
2003-12-15,7.48097
2003-12-22,7.62797
2003-12-29,5.14051
2003-12-29,2.89129
2004-01-05,2.10429
2004-01-12,1.88696
2004-01-19,1.7766
2004-01-26,1.46001
2004-02-02,1.37787
2004-02-09,1.30532
2004-02-16,1.08691
2004-02-23,0.991888
2004-03-01,1.02765
2004-03-08,1.0579
2004-03-15,0.849361
2004-03-22,0.747127
2004-03-29,0.661708
2004-04-05,0.679514
2004-04-12,0.633071
2004-04-19,0.569894
2004-04-26,0.591357
2004-05-03,0.589044
2004-05-10,0.67864
2004-05-17,0.637558
2004-05-24,0.813309
2004-05-31,0.834551
2004-06-07,0.616174
2004-06-14,0.513286
2004-06-21,0.351881
2004-06-28,0.542621
2004-07-05,0.581036
2004-07-12,0.495486
2004-07-19,0.61209
2004-07-26,0.531491
2004-08-02,0.519987
2004-08-09,0.574476
2004-08-16,0.663175
2004-08-23,0.614691
2004-08-30,0.656823
2004-09-06,0.723016
2004-09-13,0.691857
2004-09-20,0.782758
2004-09-27,0.982275
2004-10-04,1.01821
2004-10-11,1.1768
2004-10-18,1.30121
2004-10-25,1.27746
2004-11-01,1.40387
2004-11-08,1.40301
2004-11-15,1.73975
2004-11-22,1.56894
2004-11-29,1.65927
2004-12-06,1.81341
2004-12-13,2.37626
2004-12-20,2.77052
2005-01-03,2.40064
2005-01-10,2.54155
2005-01-17,2.85871
2005-01-24,3.55011
2005-01-31,4.58591
2005-02-07,5.05809
2005-02-14,5.44151
2005-02-21,4.4729
2005-02-28,3.6752
2005-03-07,3.3353
2005-03-14,2.76224
2005-03-21,2.46844
2005-03-28,2.00081
2005-04-04,1.54319
2005-04-11,1.50195
2005-04-18,1.22918
2005-04-25,1.21854
2005-05-02,1.15832
2005-05-09,1.249
2005-05-16,1.16888
2005-05-23,1.07888
2005-05-30,1.23059
2005-06-06,1.14747
2005-06-13,1.00254
2005-06-20,0.957569
2005-06-27,0.894837
2005-07-04,0.798205
2005-07-11,0.757812
2005-07-18,0.825963
2005-07-25,0.744927
2005-08-01,0.787049
2005-08-08,0.684724
2005-08-15,0.747361
2005-08-22,0.673974
2005-08-29,0.869662
2005-09-05,0.899529
2005-09-12,0.854635
2005-09-19,1.01123
2005-09-26,0.977808
2005-10-03,1.17778
2005-10-10,1.21947
2005-10-17,1.3069
2005-10-24,1.33931
2005-10-31,1.58374
2005-11-07,1.47072
2005-11-14,1.6112
2005-11-21,1.82699
2005-11-28,1.77482
2005-12-05,1.94451
2005-12-12,2.35512
2005-12-19,3.10878
2005-12-26,3.28238
2006-01-02,2.62914
2006-01-09,2.2515
2006-01-16,2.35858
2006-01-23,2.41881
2006-01-30,2.52752
2006-02-06,2.64954
2006-02-13,3.12935
2006-02-20,3.12442
2006-02-27,3.13099
2006-03-06,3.08261
2006-03-13,2.64431
2006-03-20,2.42295
2006-03-27,2.31141
2006-04-03,1.86383
2006-04-10,1.44943
2006-04-17,1.30227
2006-04-24,1.13459
2006-05-01,1.06255
2006-05-08,1.03428
2006-05-15,1.01791
2006-05-22,0.918151
2006-05-29,0.93099
2006-06-05,0.857294
2006-06-12,0.786294
2006-06-19,0.719426
2006-06-26,0.718868
2006-07-03,0.774807
2006-07-10,0.76598
2006-07-17,0.642809
2006-07-24,0.622033
2006-07-31,0.616326
2006-08-07,0.685694
2006-08-14,0.622697
2006-08-21,0.611817
2006-08-28,0.638831
2006-09-04,0.806627
2006-09-11,0.762448
2006-09-18,0.813406
2006-09-25,0.807934
2006-10-02,1.15384
2006-10-09,1.14819
2006-10-16,1.22736
2006-10-23,1.21744
2006-10-30,1.32813
2006-11-06,1.47754
2006-11-13,1.5339
2006-11-20,1.91269
2006-11-27,1.838
2006-12-04,1.95376
2006-12-11,2.40407
2006-12-18,2.87453
2006-12-25,3.02597
2007-01-01,2.37817
2007-01-08,2.09232
2007-01-15,2.29396
2007-01-22,2.74501
2007-01-29,3.04434
2007-02-05,3.49999
2007-02-12,3.57851
2007-02-19,3.28979
2007-02-26,2.89149
2007-03-05,2.62075
2007-03-12,2.53387
2007-03-19,2.07251
2007-03-26,1.87084
2007-04-02,1.40042
2007-04-09,1.46887
2007-04-16,1.15514
2007-04-23,1.07901
2007-04-30,0.98492
2007-05-07,1.03325
2007-05-14,0.926649
2007-05-21,0.9201
2007-05-28,0.954094
2007-06-04,0.763278
2007-06-11,0.81722
2007-06-18,0.764586
2007-06-25,0.793127
2007-07-02,0.66909
2007-07-09,0.62115
2007-07-16,0.603659
2007-07-23,0.649058
